alpha,l1_ratio,mean_rmse,std_rmse,mean_r2,std_r2,fold_rmses,fold_r2s
0.001,0.9,1.5023991427439376,0.15179905948036668,0.10078462976340052,0.10917109145393769,"[1.512941302746792, 1.5960613677708857, 1.6107907075328716, 1.5858164446364598, 1.2063858910326786]","[0.053410837041259374, 0.01740793904893001, 0.02943777205536313, 0.09029038146329282, 0.3133762192081573]"
0.001,0.7,1.503100616613641,0.15069473055474508,0.09999541419645483,0.1077429160258573,"[1.513794472150621, 1.5963949212481656, 1.6076552253463787, 1.588631252465534, 1.2090272118575056]","[0.052342945485569836, 0.01699720140129224, 0.03321258738442945, 0.08705806496706803, 0.3103662717439146]"
0.001,0.5,1.5036077055758217,0.14939575264210217,0.09945190447255625,0.1059896654738614,"[1.5141478703548288, 1.5954340269519858, 1.6050602574376909, 1.591419779642618, 1.211976593491984]","[0.05190042914799675, 0.01818021382097368, 0.03633111369244191, 0.08385027501024189, 0.30699749069112703]"
0.001,0.3,1.5041126905193156,0.14798850473429723,0.09891213656878332,0.1040945320873662,"[1.5145949823299327, 1.5939619562850411, 1.6025775334832688, 1.5942730418017395, 1.2151559386965962]","[0.05134041877171147, 0.019991183508979216, 0.039310034174308894, 0.08056219387093, 0.30335685251798705]"
0.001,0.1,1.504913873454331,0.14672024839299982,0.09799964955422666,0.10247968836502727,"[1.515609569830601, 1.5931918304511232, 1.6006570253835126, 1.5967679077030161, 1.2183430339034025]","[0.05006902867616081, 0.02093794108924485, 0.041611211249955704, 0.0776822996448101, 0.29969776711096185]"
1.0,0.3,1.5402822982291011,0.07918916521031849,0.054570100737447017,0.012575795540371732,"[1.5184875989390139, 1.571635866275638, 1.5887345832178716, 1.6250007148386991, 1.397552727874283]","[0.04645790770653668, 0.04725222785130223, 0.05583509604508563, 0.044778552330670074, 0.07852671975364045]"
3.0,0.1,1.5631724568274674,0.07582029983263094,0.02603057985802759,0.0051457260997542,"[1.535942949880687, 1.590804334995475, 1.614861450410754, 1.6448535477748345, 1.429400001075587]","[0.024409551870207435, 0.023870111244459924, 0.024526020864744424, 0.02129586276069151, 0.036051352550034665]"
1.0,0.5,1.5766994081563053,0.07150595168286496,0.008778363684512925,0.006702579312955821,"[1.5416022400983365, 1.600105602808103, 1.634412366995947, 1.652166959516308, 1.4552098713628303]","[0.017207043453531634, 0.012422080813642378, 0.0007631674891313001, 0.012573410010462305, 0.0009261166557970046]"
1.0,0.7,1.5852237691230604,0.07233774781586465,-0.0019162312470156983,0.001983489194409343,"[1.5551315535828263, 1.6106444719191573, 1.637927108708764, 1.662895674614464, 1.4595200367900893]","[-0.00011890440871198393, -0.0006298448447819016, -0.003539095174009743, -0.000292378360869483, -0.00500093344670538]"
1.0,0.9,1.5852237691230604,0.07233774781586465,-0.0019162312470156983,0.001983489194409343,"[1.5551315535828263, 1.6106444719191573, 1.637927108708764, 1.662895674614464, 1.4595200367900893]","[-0.00011890440871198393, -0.0006298448447819016, -0.003539095174009743, -0.000292378360869483, -0.00500093344670538]"
3.0,0.3,1.5852237691230604,0.07233774781586465,-0.0019162312470156983,0.001983489194409343,"[1.5551315535828263, 1.6106444719191573, 1.637927108708764, 1.662895674614464, 1.4595200367900893]","[-0.00011890440871198393, -0.0006298448447819016, -0.003539095174009743, -0.000292378360869483, -0.00500093344670538]"
3.0,0.5,1.5852237691230604,0.07233774781586465,-0.0019162312470156983,0.001983489194409343,"[1.5551315535828263, 1.6106444719191573, 1.637927108708764, 1.662895674614464, 1.4595200367900893]","[-0.00011890440871198393, -0.0006298448447819016, -0.003539095174009743, -0.000292378360869483, -0.00500093344670538]"
3.0,0.7,1.5852237691230604,0.07233774781586465,-0.0019162312470156983,0.001983489194409343,"[1.5551315535828263, 1.6106444719191573, 1.637927108708764, 1.662895674614464, 1.4595200367900893]","[-0.00011890440871198393, -0.0006298448447819016, -0.003539095174009743, -0.000292378360869483, -0.00500093344670538]"
3.0,0.9,1.5852237691230604,0.07233774781586465,-0.0019162312470156983,0.001983489194409343,"[1.5551315535828263, 1.6106444719191573, 1.637927108708764, 1.662895674614464, 1.4595200367900893]","[-0.00011890440871198393, -0.0006298448447819016, -0.003539095174009743, -0.000292378360869483, -0.00500093344670538]"
